id, latitude, longitude
13167991885,24.8949,67.0529
13167991884,24.8949,67.0529
13167991883,24.8947,67.0528
13167991882,24.8947,67.0528
13167991881,24.8966,67.053
13160576529,24.8976,67.0783
13160576528,24.8975,67.0783
13160576527,24.8976,67.0785
13160576526,24.8975,67.0786
13160576524,24.8978,67.0786
13160576523,24.8973,67.0786
13160576522,24.8975,67.0789
13160576520,24.8971,67.0788
13160576519,24.8979,67.0793
13160576518,24.8976,67.0795
13160576517,24.8976,67.0797
13160576516,24.8977,67.0801
13160576514,24.898,67.0802
13160576513,24.898,67.0798
13160576512,24.898,67.0795
13146788944,24.9185,67.0825
13146788943,24.9184,67.0826
13146788942,24.9183,67.0825
13146788941,24.9184,67.0824
13120045647,24.9012,67.0818
13120045646,24.9011,67.0817
13087876620,24.9298,67.1172
13087876619,24.9293,67.116
13085123768,24.9192,67.1058
13085123767,24.9192,67.1053
13085123766,24.9193,67.1052
13085123765,24.9194,67.1056
13085123764,24.9194,67.1052
13085123763,24.9192,67.1057
13085123762,24.9191,67.1057
13085123761,24.919,67.1056
13085123760,24.9189,67.1056
13085123759,24.9189,67.1056
13085123758,24.9188,67.1056
13085123234,24.917,67.1108
13085123233,24.9171,67.1098
13085123232,24.917,67.1113
13085123231,24.9168,67.1112
13085123230,24.9168,67.1108
13085123229,24.9168,67.1102
13085123228,24.918,67.1073
13085123227,24.9179,67.1079
13085123226,24.9179,67.1077
13085123225,24.9175,67.1076
13085123224,24.9181,67.1073
13085123223,24.918,67.1079
13085123222,24.9182,67.1089
13085123221,24.9182,67.1097
13085123210,24.9177,67.1085
13085123209,24.9177,67.1084
13085123208,24.9173,67.1083
13085123207,24.9179,67.1079
13041747288,24.9012,67.0817
13041747287,24.901,67.0818
13041747286,24.9011,67.0818
13041747285,24.9008,67.082
13041747284,24.9007,67.082
13039850941,24.8918,67.0838
13039850940,24.8917,67.0837
13009876758,24.9001,67.1174
13009876756,24.9002,67.1174
13009876755,24.9003,67.1174
13009876753,24.9003,67.1176
13009876752,24.9003,67.1176
13009876750,24.9002,67.1178
13009876749,24.9,67.1172
12971998137,24.9305,67.0739
12971998136,24.9308,67.0743
12920648411,24.9259,67.0738
12817947623,24.9178,67.1073
12817947622,24.9178,67.1073
12817947621,24.9173,67.1052
12817947620,24.9173,67.1055
12814448122,24.9151,67.0877
12814448121,24.915,67.0879
12814448120,24.915,67.0878
12814448119,24.915,67.0878
12802591548,24.9051,67.0793
12802591547,24.9053,67.0792
12802591546,24.9052,67.0793
12802591545,24.9048,67.0783
12802591544,24.9048,67.0784
12786617837,24.9153,67.0999
12786617836,24.915,67.0995
12786617835,24.9142,67.0986
12786617834,24.9147,67.0992
12786617833,24.9158,67.1
12784640544,24.8964,67.1182
12784632743,24.8964,67.1182
12784632742,24.8964,67.1182
12784632741,24.8964,67.1182
12784632740,24.8964,67.1181
12784632739,24.8964,67.1182
12766964359,24.9156,67.0519
12766395398,24.9047,67.0721
12766395397,24.9041,67.0726
12766395396,24.9051,67.0717
12766395395,24.9053,67.0718
12766395394,24.9053,67.0717
12766395393,24.9054,67.0717
12766395392,24.9054,67.0716
12766395391,24.9052,67.0709
12766395390,24.9054,67.0708
12766395389,24.9052,67.071
12766395388,24.9052,67.0709
12766395387,24.9052,67.0709
12763079202,24.8962,67.1186
12763079201,24.8979,67.1148
12745607660,24.9385,67.0913
12745607659,24.9376,67.0921
12745607658,24.939,67.0918
12745607657,24.938,67.0927
12745607656,24.9391,67.0921
12745607655,24.9382,67.0929
12745381823,24.9421,67.0918
12745381822,24.942,67.0919
12745381821,24.942,67.0919
12745381820,24.9421,67.0916
12745381819,24.9423,67.0915
12745381818,24.9387,67.0918
12745381817,24.9386,67.0928
12745381816,24.9383,67.093
12696021064,24.9267,67.0889
12696021063,24.9269,67.0891
12696021062,24.9273,67.0888
12696021061,24.9271,67.0886
12638536736,24.9095,67.0851
12637535070,24.9495,67.1121
12605404088,24.8909,67.0843
12605404087,24.8902,67.0848
12595964795,24.9063,67.1165
12569852477,24.9029,67.0746
12467641101,24.9273,67.099
12458752623,24.9077,67.082
12421066614,24.9496,67.0667
12421066613,24.9493,67.0665
12421066612,24.9489,67.0663
12421066611,24.9483,67.066
12421066610,24.9481,67.0659
12417392139,24.933,67.1132
12417392138,24.9334,67.1139
12400460290,24.8952,67.0793
12400460289,24.8958,67.0792
12400460288,24.896,67.0791
12396576385,24.9469,67.1101
12367194799,24.9437,67.0855
12367194798,24.9307,67.0871
12319611256,24.9,67.1173
12319611255,24.8999,67.1174
12319611254,24.8999,67.1174
12319611252,24.8999,67.117
12319611251,24.9006,67.1192
12319611250,24.9006,67.119
12319611245,24.9004,67.1197
12319611244,24.9004,67.1197
12319611243,24.9003,67.1197
12319611242,24.9005,67.1198
12319611241,24.9004,67.1199
12319611237,24.901,67.119
12312354700,24.9293,67.0525
12312354696,24.9308,67.0543
12312354695,24.9323,67.0546
12312354692,24.9313,67.0545
12312354689,24.9343,67.0553
12312354688,24.9345,67.056
12312354687,24.934,67.055
12312354684,24.9355,67.0561
12312354683,24.9362,67.0559
12304910701,24.8989,67.1062
12304716219,24.9217,67.0995
12304716218,24.9216,67.0993
12304716217,24.9214,67.0995
12304716216,24.9214,67.1002
12304716215,24.9213,67.1001
12304716214,24.9212,67.1004
12304716213,24.9207,67.1003
12304716212,24.9206,67.0992
12298762109,24.9209,67.0919
12298762108,24.9208,67.0915
12298762107,24.9206,67.0918
12298762106,24.921,67.0924
12298762105,24.9211,67.0925
12298762104,24.9209,67.0922
12298762102,24.9203,67.0938
12298762101,24.9199,67.0931
12298656185,24.9158,67.0913
12298656183,24.916,67.0917
12298656182,24.916,67.0916
12298656181,24.9161,67.0916
12298656180,24.916,67.0918
12298656179,24.9163,67.0921
12298656178,24.9165,67.0926
12298656177,24.9166,67.0927
12298656176,24.9166,67.0928
12298656175,24.9166,67.0926
12298656174,24.9168,67.0927
12298656172,24.9174,67.0924
12298656171,24.9175,67.0923
12298656170,24.9176,67.0923
12298656169,24.9177,67.0923
12298656166,24.9178,67.0922
12298656165,24.9179,67.0922
12298656164,24.9179,67.092
12298656163,24.9182,67.0914
12298656162,24.9182,67.0917
12298656161,24.9183,67.0917
12298656160,24.9183,67.0915
12298656158,24.9186,67.0915
12298656157,24.9186,67.0916
12298656156,24.9188,67.0915
12298656155,24.9188,67.0915
12298656154,24.9189,67.0913
12298656153,24.919,67.0911
12298656152,24.9191,67.0911
12298656151,24.9193,67.0911
12298656150,24.9193,67.0911
12298523460,24.9177,67.0935
12298523454,24.9186,67.0942
12296547229,24.9208,67.0881
12296547228,24.92,67.0879
12296496696,24.9194,67.088
12296496695,24.9196,67.0875
12296496694,24.9203,67.0874
12296496693,24.9199,67.0872
12296496692,24.9201,67.0871
12294153155,24.9179,67.0908
12294153154,24.918,67.0904
12294153153,24.9179,67.0905
12294153152,24.9177,67.0904
12294153151,24.9178,67.0906
12294153150,24.9178,67.0906
12294153149,24.9179,67.0903
12294153148,24.9178,67.0902
12294153147,24.9187,67.091
12294153146,24.9191,67.0908
12294153145,24.9193,67.0906
12294153144,24.9194,67.0905
12294153143,24.9196,67.0904
12294153141,24.9199,67.09
12294153140,24.9199,67.09
12294153139,24.9199,67.0901
12294153138,24.9198,67.0902
12294153137,24.9197,67.0896
12294153136,24.9193,67.0891
12294153135,24.9188,67.0904
12294153134,24.9187,67.0906
12294153133,24.9186,67.0907
12294153132,24.9185,67.0909
12294153131,24.9181,67.0903
12294153130,24.918,67.0903
12294153129,24.9189,67.0893
12294153128,24.9191,67.0892
12294153127,24.919,67.089
12294153126,24.9187,67.0892
12294092064,24.9185,67.0888
12294092063,24.9171,67.0896
12294092062,24.9171,67.0899
12294092061,24.9172,67.0906
12294092060,24.9173,67.0907
12294092059,24.9174,67.0909
12294092058,24.9174,67.0907
12294092057,24.9176,67.0907
12294092056,24.9176,67.0907
12294092054,24.9179,67.0916
12294092052,24.9177,67.0917
12294092051,24.9173,67.0923
12290501486,24.9042,67.0831
12290385745,24.9132,67.0807
12289997336,24.9171,67.0907
12289997335,24.917,67.0905
12289972921,24.9135,67.091
12289972920,24.9136,67.0909
12289972919,24.9137,67.0909
12289972918,24.9138,67.091
12289972917,24.9138,67.0911
12289972916,24.9138,67.0912
12289972915,24.9139,67.0912
12289972914,24.9139,67.0913
12289972913,24.914,67.0914
12289972912,24.914,67.0914
12289972911,24.9141,67.0915
12289972910,24.9141,67.0915
12289972909,24.9142,67.0916
12289972908,24.9149,67.0926
12289972907,24.9151,67.0928
12289972906,24.9152,67.0923
12289972905,24.9161,67.0928
12289972904,24.9154,67.0933
12289972903,24.916,67.0931
12289972902,24.9158,67.0935
12289972901,24.917,67.0934
12289949830,24.9171,67.0908
12289949829,24.917,67.0905
12289949828,24.9166,67.091
12289949827,24.9166,67.0913
12289949826,24.9163,67.0916
12289949825,24.9161,67.0913
12289949824,24.916,67.0912
12289949823,24.9166,67.09
12289949822,24.9162,67.0903
12288115700,24.9196,67.0952
12288115699,24.9196,67.0951
12288115698,24.9196,67.0947
12288115697,24.9196,67.0952
12288115696,24.9197,67.0951
12288115695,24.9197,67.0951
12288115694,24.9197,67.095
12288051254,24.9198,67.0951
12288051253,24.9197,67.095
12288051252,24.9198,67.0949
12288051251,24.9198,67.095
12288051250,24.9199,67.095
12288051249,24.9199,67.0948
12288051248,24.9198,67.0948
12288051247,24.9198,67.0949
12288051246,24.9199,67.0949
12288051245,24.9199,67.0949
12287976586,24.9199,67.0949
12287976585,24.9199,67.0949
12287976584,24.92,67.0949
12287976583,24.92,67.0948
12287976582,24.92,67.0948
12287976581,24.9199,67.0944
12287976580,24.92,67.0944
12287944176,24.9205,67.0944
12285696246,24.9217,67.0931
12285696245,24.9217,67.0929
12285696244,24.9218,67.0932
12285696243,24.9218,67.0931
12285696242,24.9219,67.0932
12285696241,24.9219,67.0933
12285696240,24.922,67.0932
12285696239,24.922,67.0932
12285696238,24.922,67.0928
12285696237,24.922,67.0927
12285696236,24.9221,67.0931
12285696235,24.9221,67.0931
12285696234,24.9222,67.093
12285666925,24.9226,67.0926
12285666924,24.9227,67.0924
12285666923,24.9227,67.0925
12285666922,24.9228,67.0924
12285666921,24.9228,67.0925
12285666920,24.9229,67.0924
12285666919,24.9229,67.0923
12285666918,24.923,67.0922
12285666917,24.9231,67.0922
12285666916,24.9231,67.0922
12285666915,24.9231,67.0923
12285666914,24.9232,67.0921
12285666913,24.9232,67.0921
12285666912,24.9232,67.0921
12285666911,24.9233,67.0922
12285666910,24.9233,67.092
12285666909,24.9233,67.092
12285666908,24.9234,67.0921
12285666907,24.9234,67.092
12285666906,24.9234,67.092
12285666905,24.9235,67.0918
12285666904,24.9235,67.092
12285666903,24.9236,67.0919
12285666902,24.9235,67.0917
12285666901,24.9236,67.0918
12285649100,24.9236,67.0918
12285649099,24.9236,67.0919
12285649098,24.9236,67.0919
12285649097,24.9236,67.0919
12285649095,24.9237,67.0918
12285638256,24.9222,67.093
12285638251,24.9222,67.0925
12285638245,24.9224,67.0924
12285638244,24.9225,67.0925
12285638243,24.9225,67.0926
12285638242,24.9226,67.0927
12285638241,24.9226,67.0927
12279452401,24.9311,67.1139
12279408603,24.931,67.114
12279408602,24.9311,67.1139
12279408601,24.9311,67.1138
12279408004,24.931,67.114
12279408003,24.9309,67.114
12279408002,24.9312,67.1138
12279408001,24.9311,67.1139
12279405805,24.931,67.114
12279405804,24.9311,67.1138
12279405803,24.9312,67.1138
12279405802,24.931,67.114
12279405801,24.9311,67.1139
12279405704,24.9309,67.114
12279405703,24.931,67.114
12279405702,24.9311,67.1139
12279405701,24.9311,67.1139
12279405612,24.931,67.1139
12279405611,24.9311,67.1139
12279405610,24.9311,67.114
12279405609,24.9312,67.1139
12279405608,24.9312,67.1139
12279405607,24.9311,67.114
12279405606,24.9311,67.114
12279405605,24.931,67.114
12279405604,24.9309,67.114
12279405603,24.931,67.1139
12279405602,24.9311,67.1139
12279405601,24.931,67.114
12279405521,24.9309,67.114
12279405520,24.9311,67.1139
12279405519,24.9312,67.1139
12279405518,24.9312,67.1137
12279405517,24.931,67.1139
12279405516,24.9311,67.114
12279405515,24.931,67.114
12279405514,24.9312,67.1139
12279405513,24.9312,67.1139
12279405512,24.9312,67.1139
12279405511,24.9312,67.1139
12279405510,24.9312,67.1139
12279405509,24.931,67.114
12279405508,24.9312,67.1138
12279405507,24.9311,67.1138
12279405506,24.9311,67.1139
12279405505,24.9311,67.1139
12279405504,24.9311,67.1139
12279405503,24.9311,67.1139
12279405502,24.9312,67.1139
12279405501,24.931,67.114
12279201555,24.9311,67.1135
12279201554,24.9309,67.114
12279193289,24.9237,67.0913
12279193288,24.9238,67.0913
12279193287,24.9237,67.0911
12279193286,24.9228,67.0904
12279193285,24.9231,67.0902
12279193284,24.9226,67.0901
12279193283,24.9228,67.09
12279193282,24.9222,67.0897
12279193281,24.9222,67.0897
12279193280,24.9225,67.0899
12279193279,24.9227,67.0897
12279193278,24.9227,67.0896
12279112700,24.9401,67.0993
12279112699,24.94,67.099
12279112698,24.9401,67.0989
12279112697,24.9402,67.0989
12279112696,24.9403,67.0989
12279112695,24.9403,67.0989
12279112694,24.9405,67.0992
12279112693,24.9405,67.0989
12279112692,24.9404,67.0987
12272844761,24.9406,67.0985
12272844760,24.9407,67.0987
12272844759,24.9407,67.0988
12272844758,24.9408,67.0988
12272844757,24.9409,67.0988
12272747013,24.939,67.0956
12272747012,24.9391,67.0962
12272747011,24.9391,67.0964
12272747010,24.9394,67.097
12272747009,24.9387,67.0985
12272747008,24.9383,67.0977
12272747007,24.9381,67.0974
12272747006,24.9368,67.0972
12272747005,24.9366,67.097
12272747003,24.9366,67.0964
12272573739,24.9368,67.0967
12272573738,24.9371,67.0966
12272573737,24.937,67.0964
12272573736,24.9368,67.0963
12272573735,24.9371,67.0958
12272573734,24.9371,67.0955
12272573733,24.9369,67.0958
12272573732,24.9366,67.0957
12272573731,24.9364,67.0962
12272573730,24.9366,67.095
12272573728,24.9365,67.0949
12272573727,24.937,67.0938
12272573726,24.9369,67.0933
12272573725,24.9368,67.0934
12272573724,24.9369,67.0943
12272573723,24.9365,67.0945
12272573722,24.9361,67.0941
12272573721,24.935,67.0951
12272573720,24.9347,67.0946
12272573719,24.9359,67.0939
12272573718,24.936,67.0938
12272573717,24.9359,67.0935
12272573716,24.936,67.0933
12272573715,24.9362,67.0931
12272573714,24.9363,67.0931
12272573713,24.9364,67.093
12272573712,24.9364,67.0929
12272573711,24.9367,67.0926
12272573710,24.937,67.0927
12272573709,24.9371,67.0926
12272573708,24.9373,67.0921
12272573707,24.9373,67.0921
12272573706,24.9374,67.0922
12272573705,24.9376,67.0921
12272573704,24.9375,67.0921
12272529208,24.9329,67.1003
12272529207,24.9341,67.0981
12272529206,24.9335,67.0979
12272529205,24.9331,67.0984
12272529204,24.9336,67.0995
12262791917,24.9097,67.0794
12262769896,24.9099,67.0794
12262769895,24.9099,67.0796
12262769886,24.9099,67.0798
12261172311,24.9105,67.0808
12261164745,24.9358,67.1016
12261159426,24.9355,67.1014
12261159425,24.9353,67.1013
12261159424,24.9351,67.1009
12261159423,24.9351,67.1009
12261159422,24.9353,67.1009
12261159421,24.9357,67.1012
12261159420,24.9354,67.1006
12261159419,24.9357,67.1005
12261159418,24.9362,67.1005
12261159410,24.9346,67.0991
12261159409,24.9349,67.0996
12261159408,24.9351,67.0994
12261159407,24.9353,67.0992
12261159406,24.9351,67.0986
12261159405,24.9352,67.0987
12261159404,24.936,67.0986
12261159403,24.9357,67.0982
12261159402,24.9366,67.098
12261159401,24.9372,67.098
12261132424,24.9106,67.0813
12261131315,24.9118,67.0821
12261128825,24.9117,67.0818
12261121450,24.9115,67.0818
12261115355,24.9124,67.0828
12261114370,24.9117,67.0822
12261111766,24.9114,67.0817
12261111764,24.912,67.0823
12261104370,24.9124,67.0829
12261101385,24.9119,67.0822
12261101324,24.9121,67.0826
12261098959,24.9137,67.085
12261093084,24.9116,67.0823
12261093014,24.9125,67.0828
12261078852,24.9175,67.0864
12261068271,24.9133,67.0854
12261068258,24.9178,67.0877
12261062454,24.9176,67.0873
12261035665,24.915,67.0862
12261029198,24.9147,67.0865
12260992667,24.9178,67.0882
12260391449,24.9328,67.0974
12260391448,24.9323,67.0984
12260391447,24.9316,67.0985
12258340220,24.9327,67.0948
12258340219,24.9323,67.0948
12258340218,24.9326,67.095
12258340217,24.9325,67.0948
12258340216,24.9322,67.0951
12258340215,24.932,67.095
12258340214,24.9316,67.0954
12258340213,24.9312,67.0959
12258340212,24.9313,67.0966
12258340211,24.9306,67.0964
12258340210,24.9302,67.0967
12258340209,24.9301,67.0973
12258340208,24.93,67.0969
12258340207,24.9299,67.0971
12258340206,24.9298,67.0972
12258216603,24.9381,67.1018
12258216602,24.938,67.1019
12258216601,24.9378,67.102
12258208797,24.9373,67.1028
12258208796,24.937,67.1022
12258208795,24.9367,67.102
12258208794,24.9366,67.1023
12258208793,24.9361,67.1026
12258208792,24.9363,67.1028
12258208791,24.9365,67.1035
12258208790,24.9362,67.104
12258208789,24.9355,67.1048
12258208787,24.9354,67.1049
12258208786,24.9354,67.1049
12258208784,24.9353,67.105
12258208783,24.9353,67.1049
12258208782,24.9352,67.105
12258208778,24.9351,67.1049
12258208773,24.9349,67.1047
12258208771,24.9351,67.1045
12258208770,24.9348,67.1046
12258208769,24.9347,67.1045
12258208768,24.9346,67.1043
12258176210,24.9346,67.1042
12258176209,24.9344,67.1038
12258176208,24.9345,67.1039
12258176207,24.9344,67.1039
12258176206,24.9343,67.1039
12258176205,24.9342,67.104
12258176204,24.9342,67.1037
12258147688,24.9342,67.1035
12258147687,24.9341,67.1035
12258147686,24.9339,67.1034
12258147685,24.9341,67.1036
12258147684,24.933,67.1023
12258147683,24.9332,67.1019
12258147682,24.933,67.1021
12258147681,24.9329,67.102
12255010390,24.932,67.1004
12255010388,24.932,67.1002
12255010383,24.9316,67.1001
12255010382,24.9316,67.1003
12255010381,24.9316,67.1002
12255010380,24.9317,67.0999
12255010379,24.9315,67.1001
12255010378,24.9314,67.1
12255010377,24.9314,67.0999
12255010376,24.9314,67.0996
12255010375,24.9315,67.0996
12255010374,24.9314,67.0996
12255010373,24.9313,67.0999
12255010372,24.9313,67.0998
12255010371,24.9312,67.0998
12255010370,24.9313,67.0995
12255010368,24.9312,67.0991
12255010367,24.9311,67.0996
12255010366,24.9309,67.0988
12255010365,24.9303,67.0986
12254926560,24.9319,67.0941
12254926559,24.9319,67.0939
12254926558,24.9318,67.0934
12254926557,24.9321,67.0931
12254926556,24.9321,67.0933
12254860367,24.932,67.0936
12254860366,24.9322,67.0938
12254860364,24.9322,67.0939
12254860363,24.9324,67.0941
12254860362,24.9326,67.0937
12254860361,24.9326,67.0937
12254860360,24.9326,67.0938
12254860359,24.9326,67.094
12254860358,24.9324,67.0942
12254860357,24.9326,67.0943
12254860356,24.9321,67.0941
12254860355,24.9323,67.0944
12254860354,24.9322,67.0946
12254860353,24.9321,67.0946
12254860352,24.9319,67.0948
12254860351,24.9318,67.0949
12254860350,24.9318,67.0949
12254860349,24.9313,67.0951
12254860348,24.9313,67.0952
12254860347,24.9308,67.0958
12254860346,24.9305,67.0961
12254860345,24.9302,67.0964
12254860344,24.9301,67.0965
12254814475,24.9294,67.0971
12254814474,24.9294,67.0972
12254814473,24.9294,67.097
12254814472,24.9293,67.097
12254814471,24.9291,67.097
12254814470,24.9292,67.0968
12252225800,24.9283,67.0962
12252225798,24.9282,67.096
12252206037,24.9276,67.0949
12252206036,24.9276,67.0947
12252206035,24.9275,67.0944
12252206034,24.9274,67.0948
12252206033,24.9274,67.0949
12252206032,24.9273,67.095
12252206031,24.9272,67.0949
12252206030,24.9272,67.0948
12252206028,24.9271,67.0947
12252206027,24.927,67.0945
12252206026,24.927,67.0945
12252206025,24.9268,67.0945
12252206024,24.9271,67.0941
12252206023,24.9272,67.094
12252206022,24.9268,67.0944
12252206021,24.9267,67.0944
12252206020,24.9268,67.0943
12251371883,24.9261,67.0927
12251371882,24.9259,67.0925
12251371881,24.9257,67.0928
12251371880,24.9257,67.0928
12251371879,24.9256,67.0927
12251371878,24.9256,67.0927
12251371877,24.9255,67.0926
12251371876,24.9256,67.0928
12251371875,24.9254,67.0923
12251371874,24.9258,67.0924
12251371873,24.9258,67.0923
12251371872,24.9257,67.0922
12251371869,24.9254,67.0924
12250953000,24.9275,67.09
12250952999,24.9275,67.0895
12250952998,24.9276,67.0897
12250952997,24.9278,67.0899
12250889545,24.9314,67.1141
12250889543,24.9316,67.1143
12250681807,24.927,67.0931
12250681806,24.9271,67.093
12250681805,24.9271,67.093
12250681804,24.9272,67.0928
12250681803,24.9273,67.0928
12250681802,24.9277,67.0924
12250667212,24.9271,67.0936
12250667210,24.927,67.0934
12250667209,24.9271,67.0933
12250667208,24.9271,67.0932
12250667202,24.9278,67.0927
12244231792,24.9285,67.0935
12244231791,24.9284,67.0939
12244231789,24.9287,67.0938
12244231788,24.9287,67.0938
12244231787,24.9288,67.0937
12244231786,24.9291,67.0934
12244231785,24.9291,67.0934
12244231784,24.9295,67.0928
12244231783,24.9302,67.0924
12244231782,24.931,67.0916
12244231781,24.9306,67.092
12244231780,24.93,67.0911
12244231779,24.9297,67.0911
12244231778,24.9295,67.091
12244231777,24.9293,67.0909
12244231776,24.9304,67.0902
12244231773,24.9294,67.0894
12244231772,24.9286,67.0899
